City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Norman Wells,CA,2021-03-21 22:21:59,65.282,-126.8329,1.4,60,20,6.91
203,Orica,HN,2021-03-21 22:21:59,14.7,-86.95,73.4,73,75,9.22
204,Longkou,CN,2021-03-21 22:22:00,37.6508,120.3286,40.01,60,0,15.01
205,Gawler,AU,2021-03-21 22:22:00,-34.6,138.7333,72.0,60,54,5.99
206,Iqaluit,CA,2021-03-21 22:21:52,63.7506,-68.5145,-5.01,71,75,3.44
207,Mutis,CO,2021-03-21 22:22:00,6.2262,-77.4044,81.18,76,46,6.08
208,Omboue,GA,2021-03-21 22:22:01,-1.5746,9.2618,78.44,89,100,5.14
209,Mackenzie,CA,2021-03-21 22:22:01,55.2999,-123.1698,32.0,86,90,17.27
210,Podporozhye,RU,2021-03-21 22:22:01,60.9112,34.1706,30.65,97,99,7.18
211,Smolensk,RU,2021-03-21 22:18:19,55.0,33.0,28.09,93,100,10.67
212,Yerbogachen,RU,2021-03-21 22:22:02,61.2767,108.0108,-18.17,92,100,7.05
213,Niono,ML,2021-03-21 22:22:02,14.2526,-5.993,87.22,39,83,8.99
214,Chokurdakh,RU,2021-03-21 22:22:02,70.6333,147.9167,-9.06,80,91,5.7
215,Matamoros,MX,2021-03-21 22:22:03,25.5333,-103.25,87.8,12,20,3.94
216,Kudahuvadhoo,MV,2021-03-21 22:22:03,2.6708,72.8944,82.26,65,62,4.23
217,Fortuna,US,2021-03-21 22:22:03,40.5982,-124.1573,53.01,66,90,13.8
218,Sundsvall,SE,2021-03-21 22:22:04,62.3913,17.3063,34.0,74,75,2.3
219,Belmonte,BR,2021-03-21 22:22:04,-15.8631,-38.8828,75.2,83,20,2.3
220,Port Hardy,CA,2021-03-21 22:22:04,50.6996,-127.4199,44.6,93,90,3.44
221,Makakilo City,US,2021-03-21 22:22:04,21.3469,-158.0858,80.6,50,1,13.8
222,Faya,SA,2021-03-21 22:22:05,18.3851,42.4509,62.6,27,0,5.48
223,Port Shepstone,ZA,2021-03-21 22:22:05,-30.7414,30.455,68.09,76,80,18.1
224,Chauk,MM,2021-03-21 22:22:06,20.8833,94.8167,76.84,37,38,1.79
